"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","12491000","13435000","5686000","2404000","1969000","2798000","1696000","5193000","4301000","10735000","10890000","14509000","18100000","14159000","-1162000","-1991000","-1416000","-2042000","-11948000","-7294000","-15812000","-7480000","-19885000","-23111000","-20875000","-16518000","-12901000","-11151000","-7412000","-4521000","-3525000","-3044000","-1679000","-1088000","-1066000","-1086000","-13000","0","6487000","52976000","37989000","11999000","23299000","-671000","27573000","-6818000","22493000","-1619000","22480000","276658000","",
"Central African Republic","CAF","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","0","0","0","0","0","19071000","124443000","144580000","165528000","134930000","216909000","336149000","339834000","316477150","130873000","66816155.53","-14830280.98","-9547850.72999999","-792990397.62","-569472309.49","213904150.86","872179307.28","950539278.75","890442983.19","1280005507.09","417821908.36","307059832.25","667846820.07","-410476611.88","526632871.79","483322433.27","240152149.26","106412691.81","-467461431.15","-472140270.02","-7752619.09","-243063145.25","-255510930.12","-507908608.54","3615380941.12","1365922000","1689886000","589721000","1882661000","600419000","1242465000","-239492000","376856000","-124911000","-87322000","","","",
"Switzerland","CHE","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","18938000","11106000","2763000","3956000","-5722000","5890000","6593000","5554000","10502000","6350000","4856000","17566000","19395000","12674000","18747000","211996000","340482000","270603000","211763000","97099000","132226000","44270000","32212000","-65244000","-111174000","-621441000","-187790000","-24719000","-34547000","-67385000","-66667000","-79938000","-171954000","-135180000","18803000","-151239000","56771000","8281000","-154266000","14901000","-25817000","-57937000","-19408000","-763000","-1394000","3775000","85329000","","","","","","",
"China","CHN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","4013000","72927000","353551000","324312000","206076000","513926000","542203000","375589000","537876000","356702000","731895000","1065485000","1107099000","943023000","1210761000","1077974000","788340000","949726000","663126000","-576913000","-837387000","306268000","273697000","233230000","285308000","632871000","298519000","195621000","53804000","-96004000","-74989000","81380000","176614000","90344000","765075000","476575000","715661000","328679000","720985000","",
"Cote d'Ivoire","CIV","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","3407000","6132000","7081000","11227000","20106000","23518000","12915000","34865000","54741000","52826000","78279000","34487000","199788000","178314000","186430000","25731000","60063000","290092000","-19827000","9068000","136102000","34780000","-54412000","-160714000","-174722000","-179887000","-159503000","-157617000","-139472000","-120667000","-57480000","-72142000","-89858000","-82074000","-38363000","0","0","-29653000","-377429000","-73270000","-24872000","-14688000","","","","","","","17198000","12911000","26964000","35467000","",
"Cameroon","CMR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","3250000","4317000","6087000","9297000","5548000","21068000","7734000","14116000","30829000","27089000","24172000","15191000","14314000","35858000","35889000","31240000","45294000","47229000","12134000","71794000","32886000","59931000","23685000","-27823000","-60346000","-85342000","-75825000","-70420000","-65255000","-63332000","-53314000","-8583000","-22037000","-885000","-29661000","-31529000","-38694000","-5422000","-5438000","-5437000","-5443000","-5456000","-5335000","-5335000","-5335000","-2667000","","223864000","38186000","5247000","10826000","24156000","",
"Congo, Dem. Rep.","COD","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-1310000","-1561000","-980000","-980000","-980000","11286000","20591000","24000000","18467000","-4444000","16888000","-6844000","-7535000","-7948000","-6482000","-8082000","-11294000","-8065000","-7642000","-4243000","15472000","34192000","-2810000","","","","","","","","","","-81547000","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-700000","-1460000","-1550000","-1645000","-1745000","-1850000","4588000","-347000","16556000","-52000","-2425000","2466000","584000","1073000","5042000","10133000","8848000","16750000","46790000","5979000","-4157000","-823000","65000","","-56970000","-17302000","-14225000","-2830000","-3259000","0","-2363000","-48184000","-6453000","-6424000","-3153000","","","","","","","","","","","112000","3967000","4807000","15705000","21837000","34000000","35482000","",
"Colombia","COL","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","40974000","36686000","62698000","51091000","57124000","71886000","38070000","44628000","35222000","86967000","152288000","174106000","185151000","169179000","308907000","424418000","277389000","65818000","146399000","28571000","-220582000","-190610000","-419112000","-294271000","-525837000","-176417000","-198179000","-248081000","-47738000","218043000","24547000","136089000","248756000","775493000","199990000","486931000","683908000","132382000","688954000","1115581000","937183000","84001000","91274000","210105000","542043000","356604000","945186000","-279297000","907538000","410450000","1158615000","1848681000","",
"Comoros","COM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1361000","18055000","23476000","5618000","1730000","-1059000","-1182000","-1776000","3153000","-1905000","",
"Costa Rica","CRI","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","2952000","7608000","11253000","8741000","11503000","9867000","18911000","20093000","16779000","14632000","22805000","13751000","7620000","5974000","18271000","63272000","26663000","-18457000","-32790000","8765000","-40012000","-12647000","-18393000","-37002000","-45418000","-39049000","-31745000","-34160000","-20613000","-22573000","-27243000","-18601000","-11132000","-11568000","-8734000","-12084000","-5681000","-7959000","-4239000","16720000","512333000","16769000","-1419000","13536000","1817000","1541000","134532000","52189000","115216000","51644000","71244000","271661000","",
"Caribbean small states","CSS","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","8380000","11172000","6351000","8261000","8968000","16370000","24383000","15688000","51759000","22652000","50649000","42777000","128258000","54960000","36542000","60800000","-13230000","14479000","-6511000","-7225000","-43241000","-32684000","-63522000","14539000","-57140000","-18002000","-27662000","-37075000","-30575000","-8514000","37280000","41948000","38311000","-27182000","-55322000","-36883000","-37766000","-30839000","-51718000","60929000","181047000","82621000","-16820000","121081000","-27234000","67677000","-23885000","49327000","2547000","19343000","","","",
